,InvoiceNo,CustomerID,CountryType,Quantity,InvoiceDate,Month,Day,Weekday,Hour,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,sum,Delivery_Charges,Extra_Charges,Other Purchases,PricePerQuantity
0,536365,17850,1,34,2010-12-01 08:26:00,12,1,2,8,0.0,15.3,20.34,35.64,42.34,0.0,113.62,0,0,0,3.341764705882353
1,536366,17850,1,6,2010-12-01 08:28:00,12,1,2,8,0.0,0.0,0.0,11.1,0.0,0.0,11.1,0,0,0,1.8499999999999999
2,536367,13047,1,83,2010-12-01 08:34:00,12,1,2,8,76.45,61.8,0.0,79.58,60.9,0.0,278.73,0,0,0,3.3581927710843376
3,536368,13047,1,15,2010-12-01 08:34:00,12,1,2,8,0.0,0.0,25.5,0.0,44.55,0.0,70.05,0,0,0,4.67
4,536369,13047,1,3,2010-12-01 08:35:00,12,1,2,8,0.0,0.0,0.0,0.0,17.85,0.0,17.85,0,0,0,5.95
5,536370,12583,0,446,2010-12-01 08:45:00,12,1,2,8,131.4,33.48,323.70000000000005,87.80000000000003,184.68000000000004,40.8,801.8600000000001,54,0,54,1.7978923766816146
6,536371,13748,1,80,2010-12-01 09:00:00,12,1,2,9,0.0,0.0,0.0,0.0,204.0,0.0,204.0,0,0,0,2.55
7,536372,17850,1,6,2010-12-01 09:01:00,12,1,2,9,0.0,0.0,0.0,11.1,0.0,0.0,11.1,0,0,0,1.8499999999999999
8,536373,17850,1,70,2010-12-01 09:02:00,12,1,2,9,0.0,15.3,20.34,86.06,91.00000000000001,0.0,212.70000000000002,0,0,0,3.0385714285714287
9,536375,17850,1,70,2010-12-01 09:32:00,12,1,2,9,0.0,15.3,20.34,86.06,91.00000000000001,0.0,212.70000000000002,0,0,0,3.0385714285714287
10,536376,15291,1,112,2010-12-01 09:32:00,12,1,2,9,0.0,163.2,0.0,165.60000000000005,0.0,0.0,328.80000000000007,0,0,0,2.9357142857142864
11,536377,17850,1,6,2010-12-01 09:34:00,12,1,2,9,0.0,0.0,0.0,11.1,0.0,0.0,11.1,0,0,0,1.8499999999999999
12,536378,14688,1,454,2010-12-01 09:37:00,12,1,2,9,15.3,210.2,50.4,158.88,10.2,0.0,444.98,0,0,0,0.9801321585903084
13,536380,17809,1,24,2010-12-01 09:41:00,12,1,2,9,0.0,34.8,0.0,0.0,0.0,0.0,34.8,0,0,0,1.45
14,536381,15311,1,159,2010-12-01 09:41:00,12,1,2,9,6.25,47.75,129.14999999999998,80.55,111.52000000000001,24.75,399.9699999999999,0,0,5,2.515534591194968
15,536382,16098,1,134,2010-12-01 09:45:00,12,1,2,9,0.0,64.1,127.3,199.0,0.0,40.2,430.59999999999997,0,0,0,3.2134328358208952
16,536384,18074,1,190,2010-12-01 09:53:00,12,1,2,9,0.0,131.25,152.95,205.39999999999998,0.0,0.0,489.6,0,0,0,2.576842105263158
17,536385,17420,1,53,2010-12-01 09:56:00,12,1,2,9,15.0,34.4,25.5,55.95,0.0,0.0,130.85,0,0,0,2.468867924528302
18,536386,16029,1,136,2010-12-01 09:57:00,12,1,2,9,0.0,165.0,178.20000000000005,0.0,0.0,0.0,343.20000000000005,0,0,0,2.5235294117647062
19,536387,16029,1,1440,2010-12-01 09:58:00,12,1,2,9,1920.4799999999996,0.0,0.0,626.4,647.04,0.0,3193.9199999999996,0,0,0,2.2179999999999995
20,536388,16250,1,108,2010-12-01 09:59:00,12,1,2,9,77.55,34.65,37.50000000000001,5.04,71.4,0.0,226.14000000000001,0,0,0,2.093888888888889
21,536389,12431,0,107,2010-12-01 10:03:00,12,1,2,10,109.1,39.6,209.55,0.0,0.0,0.0,358.25,0,0,0,3.3481308411214954
22,536390,17511,1,1568,2010-12-01 10:19:00,12,1,2,10,233.8,722.42,91.08,324.36,454.08,0.0,1825.74,0,0,92,1.164375
23,536392,13705,1,103,2010-12-01 10:29:00,12,1,2,10,60.6,11.7,0.0,230.84,15.0,0.0,318.14000000000004,0,0,0,3.0887378640776704
24,536393,13747,1,8,2010-12-01 10:37:00,12,1,2,10,0.0,0.0,79.6,0.0,0.0,0.0,79.6,0,0,0,9.95
25,536394,13408,1,544,2010-12-01 10:39:00,12,1,2,10,0.0,81.6,60.0,850.0800000000002,33.0,0.0,1024.6800000000003,0,0,0,1.8836029411764712
26,536395,13767,1,260,2010-12-01 10:47:00,12,1,2,10,0.0,16.8,149.8,341.28000000000003,0.0,0.0,507.8800000000001,0,0,0,1.9533846153846157
