text,target
The most important Publix-related website ever,Publix
I'm just going to leave this here.,Publix
Promotion!,Publix
3am hit different,Publix
"I hate my life, somebody knocked an egg stack down and didn’t bother to clean it up",Publix
"Woah fella, you're too early!",Publix
F,Publix
Retail Improvement Specialists,Publix
Frozen department,Publix
on today’s episode of “what the hell was the warehouse thinking?”,Publix
Questions about my roi,Publix
"Don't worry, karen. I knocked the prices on those milks",Publix
Something I found a couple of days ago while dusting the coolers,Publix
You know you don’t sleep much when you volunteer for extra shifts,Publix
"""just make more"" @ 7 pm",Publix
"When you take an order, make sure that the date is correct, and the customer shows up a day early to demand a discount because their cake isn’t made yet (FSC to Bakery, practicing my cake writing)",Publix
PTO,Publix
New tote cart I kept hearing about,Publix
Publix themed video game,Publix
Why are shorts not allowed in fresh departments?,Publix
what should i do,Publix
question,Publix
"Question about ROI, testing, and promotions",Publix
Customer jumped the park stop and got stuck. I bet they’re also the type of people to go through express with 17 items (no paper bags were harmed in the making of this meme),Publix
Holiday pay,Publix
What determines what goes on bogo for the following week? With publix brand items (Bakery/Deli/Produce items?),Publix
"Umm..Do we have a new CS doing ""Go-backs""?",Publix
This is how I know my DM was here.,Publix
We don't need Magnum P.I. We need Loss Prevention full time.,Publix
Poor Girl...Never had a chance to make it to the registers.,Publix
Advice?,Publix
Christmas in July,Publix
new hire,Publix
"Sushi and chips are about the same, right?",Publix
Publix is good at pie graphs,Publix
"Someone fell at our store, What will happen?",Publix
How many days notice to you need to put in a time off request?,Publix
"Don't pass it up, pick it up!!!",Publix
All out of date. Somebody done goofed,Publix
People 🙄,Publix
Made it to the end of my 2:00-11:00pm shift. Floors is the easy part.,Publix
"shit meme for a shit job, can i get a yeet",Publix
Thanks Warehouse. Another in a long line of wise decisions.,Publix
Transferring stores,Publix
We truly don't deserve The Pub with all the greatness it brings us.,Publix
Can I do a work through during my first year as a full timer?,Publix
Overtime for part-timer,Publix
Stacking level: 100,Publix
I need advice on work gloves!,Publix
FT Schedule,Publix
Am I going to get fired?!,Publix
Evaluation,Publix
"Cool pic of the sun peeking through after a storm, store (1206)",Publix
"Going for it 2:00-11:00pm tonight. Cashier, carts, bagging, &amp; floor care, so it’ll go quick",Publix
Changing my schedule with absolutely no heads up,Publix
Found at Grandma's house :D,Publix
Is CSS ever going to get new uniforms?,Publix
"Just had a lady run over this with her van, stop and look at me and say sorry, than she drove off the way she came .-.",Publix
♡Sceam! For Publix ICECREAM♡,Publix
pay,Publix
ACSM Finalist list,Publix
Anyone have good before and after back room pictures,Publix
First day at the desk tomorrow.,Publix
Pilot program??,Publix
Asking FT Office Staff a question,Publix
Pay Publix Back After Last Check,Publix
So if you get eligible instead of finalists can you still get promoted or is getting eligible the same as saying go f*** yourself?,Publix
Waiting list,Publix
Celebrated my HIGH PASS for ASM with this Produce BOGO flex case display today!!!,Publix
The hero we deserve,Publix
An interesting set of clouds today,Publix
Always hiring deli workers if anyone needs a job,Publix
"MMA (floors being redone), smell/fumes?",Publix
:(,Publix
Any tips for working with one oven?,Publix
The fact that they used the beginning part of mustard to most likely avoid controversy.,Publix
2 years of ROI,Publix
Lv Atl just Sucks...,Publix
Unfun fact of the day,Publix
r/AskPublix,Publix
Why Publix doesn't do employee social events,Publix
A easy way to fix a common issue,Publix
"Question about a ""Serial Impregnator""",Publix
"Favorite part of night. Last two hours goes by quick. Store sweep, final carts, then run machine.",Publix
Meeting with CSM/ACSM regarding how I'm doing so far as a Cashier training for CSS?,Publix
October.,Publix
has anyone ever had any success when submitting something to improvement ideas on oasis?,Publix
Can I get the Publix Promise?,Publix
For those of you who are into tiktoks.,Publix
Qustion(s) about ACSM testing,Publix
"""What do you do for a living?"" ""I babysit adults and thier children."" ""What?"" ""Oh, sorry, slang term is 'retail'.""",Publix
Prepping for area 51 after work,Publix
"""dOuBlE bRoWn BaGs FoR tHe cOlD iTeMs!!!"" *followed by unnecessary laughter*",Publix
Bakery v deli,Publix
Can I use a Publix transfer to move to a different state.,Publix
Email for HR,Publix
Question about loan,Publix
Does anyone have a recipe for making the bread that Publix uses for their subs???,Publix
Finalist List,Publix
I just made it to number 1. Its lunch time,Publix
What makes a role model cashier?,Publix
"Nice going, Planogram designer!",Publix
I hate eggs!,Publix
Two kids set up the paper towels as a “net” and played hockey. MIC called soon after the pic was taken.,Publix
Someone took a dump by the redbox today,Publix
Lightening is noooooo joke in Florida ⛈⛈⛈⛈,Publix
SM lowering evals ?,Publix
Moving from Kroger to Publix?,Publix
District title? FL area,Publix
Publix managers at store resets be like,Publix
It has begun...,Publix
When you lie on your resume but still get the job,Publix
Return policy,Publix
Asking your district manager or store manager for a meeting-,Publix
Seems about right,Publix
Lol,Publix
Just curious,Publix
☆Publix (1670) has self check out☆ Grand Opening Today &amp; Parking lot almost full☆,Publix
Thanks random customer very cool!,Publix
Once again thank you random guest very cool! 🙃,Publix
"fried chicken thigh, price per lb?",Publix
Fred,Publix
This sweet potato i found,Publix
Finalist list,Publix
Good job warehouse!!,Publix
"My manager is getting transferred, and I'm distraught.",Publix
1670,Publix
You don't have to know how to read to work at Publix. This is on a back endcap. It's all supposed to be Almond Breeze.,Publix
"I'm introducing myself to the Publix store and deli managers tomorrow, how's my 30-second pitch?",Publix
First Manager Reset,Publix
Return of the endcap: Cereal and Milk edition,Publix
I sliced my finger on a meat slicer and it's requiring stitches. Am I going to get fired?,Publix
"St Pete, FL - which Publix in the area is best to work at?",Publix
She loves those Publix carrots y'all,Publix
Why leave the turtle like this. Why,Publix
Schedule,Publix
What are the chances of getting my Publix to carry Fresh Pet dog food? I usually see it in mini fridges on the pet food aisle.,Publix
We are Grand Opening tomorrow! Share our bulk wall to you guys/gals.,Publix
Publix #1670,Publix
Good morning to everyone except the person who stacked this pallet.,Publix
As a bagger or cashier what are some things that we’re supposed to do but not everyone does.,Publix
What a deal!,Publix
Considering transfer to Tennessee,Publix
Here we go again...,Publix
Fred is dead,Publix
I hate people.,Publix
Publix Serves Event Information?,Publix
Proof reading is for Walmart employees😤😤😤,Publix
"If you’re like me and aren’t in line to get a promotion(finals list), go talk to your department and store manager!!!",Publix
Scheduled to work at a different store,Publix
I work with some smart people.,Publix
Best of luck to everyone who ROI'D this period !!!!,Publix
Going from FSC to Cashier,Publix
Everyone getting their feedback letter... and I’m still waiting.,Publix
Jacksonville,Publix
Dairy,Publix
New moto,Publix
Couponers,Publix
Do not double coupons,Publix
My experience working at Publix? So far it’s cutthroat and the business motto “we’re a family” is such bull. Can’t speak for the stores but boy sometimes these people piss you off.,Publix
What does this mean???,Publix
Potential promotion to a state out of FL,Publix
Not A Finalist,Publix
Just started working at Publix and wanted any tips or advice you could offer. It could literally be anything lol,Publix
Looking to buy a car with either my bank or Publix.,Publix
Test results after transfer,Publix
Interviewing for full-time,Publix
Hard plastic bucket,Publix
Publix Warehouse,Publix
Managers take note:,Publix
NC/TN/VA associates - are managers still working ridiculous hours?,Publix
Officially switching departments?,Publix
How much does your Deli do a week?,Publix
Feedback letters!!,Publix
A decision was made here.,Publix
It was one of those days today.,Publix
Just got an interview. Any advice?,Publix
Does anyone know if publix offers any discounts on car insurance?,Publix
Good job warehouse,Publix
djcukbv,Publix
feedback letters are out!!,Publix
Woohoo! Store# 1670 is two days away from opening!!!,Publix
I gave publix my 2 weeks notice and they don’t have me on the schedule the entire week.,Publix
Publix GreenWise Market #1182,Publix
I have a Scheduling issue,Publix
My store,Publix
Do you agree that Publix’s online orders need be delivered by a Publix employee?,Publix
Does anyone know what the average amount of hours a bagger gets?,Publix
Aprons Information,Publix
Close @9. Couponers arrive at 8:50pm and leave at 9:36pm.,Publix
Just got accepted for an interview!,Publix
CSS hours,Publix
PRODUCE FOR THE 1ST TIME,Publix
Conflicting work situation,Publix
Feedback letters!!!,Publix
"When you're told to do go-backs and 5 minutes later ""Customer service to the front please"" Me:",Publix
"I'm usually a cashier, but last night I worked in bakery for the first time. I also wrote with icing for the first time.. and doodled a little, too. I'm pretty proud of myself!!!!",Publix
Is it a worm? How safe is it?,Publix
PT millionaire,Publix
Manager pictures,Publix
"Ahhh... Poopty poop poop..... All the way down the aisle, while one of shopping cart wheels squishes and makes tracks every four inches apart to the next aisle.",Publix
I didn’t know we sold organs in produce.,Publix
If you're a bagger over 18 hear this,Publix
Anyone know any fun or interesting facts about Publix elementary school kids would like?,Publix
"I’d like to go into the customer service department, but I have a few questions.",Publix
Question about possible violation of rules?,Publix
We got Handels for the new scanners.,Publix
Transferring Tips,Publix
Produce peeps! What are some of your pet peeves (customer or associate related)?,Publix
I am waiting for the night I check the bathrooms and see this,Publix
80K + delis: How much provolone do you slice for your sub bar?,Publix
"So a guy takes one of my four pack of butter openes it then walks to a cashier and says ""can I just buy two""? Really like there is not a two pack I hate dumb customers I swear😂. Who else's has dumb customers?",Publix
Okay then...,Publix
New cashier + Tips?,Publix
It's like the fryer read my thoughts...,Publix
Yay me 2 out of the 3 fryers was like this smh,Publix
I thought this was a post in this Publix page. 😂🤦🏻‍♂️,Publix
Publix #1673,Publix
Timey Wimey Sani Wipey,Publix
"Grocery clerks, how long does it take you to close? Impossible standards?",Publix
Can assistant department managers transfer stores?,Publix
Who else has flex racks? Just cleaned these bad boys. 😤😤😤,Publix
A Walmart employee was fired this week for anonymously posting confidential information about a new company initiative on Reddit.,Publix
Another one of our ForFilling signs (:,Publix
Produce shopping with wife and family,Publix
"I think WE have the best front service associates ""Dah Baggers""!",Publix
Questions about full time and part time,Publix
Customer Service Staff,Publix
Ice Cream Demo,Publix
The rest of the store is burning down and customer service be like:,Publix
It Been 3 Years and No One Has Ever Asked me For This.,Publix
Publix Cookie Butter Créme ice cream,Publix
Cashiers who think they're in charge,Publix
Has Publix customer service gotten worse in recent years?,Publix
Tips,Publix
“mic to the cash office” / mic:,Publix
late night cakes,Publix
Do employees get gift cards or discounts as part of the benefit package?,Publix
Trying to transfer,Publix
Me: thinks today is the day we get the roi results. Corporate:,Publix
When a customer just let's a popsicle just melt on the shelf!!!!!!,Publix
website glitch? help!!!!!!!!!,Publix
Publix loan,Publix
RSA CBT goof up,Publix
seafood first-timer ?,Publix
I've been told both....this isn't okay right?,Publix
Do not be afraid to speak your mind.,Publix
Weirdest thing you've found left behind in the shopping cart? For me it's a hogs head,Publix
National ice cream day at Publix on July 21st,Publix
Hello sign,Publix
But... why?,Publix
Really?,Publix
Anybody know the minimum wage for PT grocery clerk was in 2015? Lakeland division of that helps.,Publix
What’s the Grace Period Time before you receive a tardy?,Publix
"Overdose in Publix parking lot, Narcan shots then rushed to the hospital for emergency cesarean section.",Publix
HAS EVERYONE FORGOTTEN THE PUBLIX BAG BOY??,Publix
I never knew this existed,Publix
👌🏻that close to getting yelled at ab overtime. 17 training for css too🤪,Publix
Returning hire,Publix
Info on Publix please!,Publix
My wet wall,Publix
"Found on Aisle 12, exp date was 6/30",Publix
#NationalIceCreamDay,Publix
Cust. Service raise/pay?,Publix
Weird Times with Lotto today,Publix
"""fresher bread""",Publix
Manager put this by the time clock 😂,Publix
I can relate so much,Publix
So I had an interview with Publix yesterday and was offered a job in the deli. I JUST got off probation early July. I was on for grand theft. He said if it comes up to him he’ll still hire me. So is there a chance it’ll all work out because I guess ultimately it’s up to cooperate ??,Publix
My lobsters are trying to escape,Publix
Judgment day is upon us,Publix
Do other stores have two assistant grocery managers?,Publix
Factory Screwups and Aggressive Signs,Publix
Pyramid Schemes in the checkout line,Publix
Since Everyone's Talking About Coupons...,Publix
The seaweed is always greener in somebody else’s lake,Publix
Pay range in Nashville?,Publix
Stocking standards?,Publix
The importance of a neg sku check,Publix
When you're coming in with a round of carts but all the lanes have a bagger,Publix
Seems legit. 😂,Publix
Vacation,Publix
Our newest coupon,Publix
How soon after being hired can I request a transfer to another store?,Publix
"When its 100 degrees your standing outside waiting to come in with carts while a conga-line of customers are blocking entrance, oblivious/taking their time.",Publix
It's 5 o'clock do you know where your stock clerks are?,Publix
Trying to pull out my box cutter at home when I get a package from Amazon like:,Publix
"Oh, right, being ad change is just a coincidence...",Publix
So where is it? Says it’s in the same location for other stores too. Or does that mean behind the pharmacy it’s nicotine lozenges (nicorette),Publix
welp,Publix
When the warehouse sends you 17 cases of Summer Kiss melons instead of the 17 cases of Sugar Kiss that are going on sale tomorrow...,Publix
A cashier's horror story,Publix
"Recall issued for hot dog, hamburger buns sold at Publix, Walmart",Publix
About to head into my Deli shift when I saw this little gem,Publix
Story of my life,Publix
My ACSM is transferring so I'm kinda bummed. so I got him his favorite dessert key lime cheese cake. And we are gonna do one last Quality Time together in the computer room.,Publix
So many hours wasted over the years,Publix
My 1 year!,Publix
Figured my fellow CS associates would enjoy this,Publix
What kind of fuckery is this?,Publix
who else had customers come in trying to use the ‘$75 off a purchase of $80 or more?”,Publix
Feel singled out,Publix
Not getting a raise when transferred from bagger to grocery clerk 4 years ago,Publix
Had the worst customer ever today,Publix
Cam Newton at a Publix store!,Publix
Publix Fruit Review,Publix
Holiday pay?,Publix
Haven't been scheduled for four weeks straight? Should I quit or just let them fire me?,Publix
Back to school setup.,Publix
Lobster mini season,Publix
Looking for feedback from Publix Greenwise Team Members,Publix
For all the Spiderman people,Publix
The real new hire 2 week check...,Publix
Baggers- What is something that really annoys you?,Publix
The CPR class is absolutely amazing to have under your belt,Publix
I'm a sick fuck I like a big Truck,Publix
What happens when you’re nice to shady customers,Publix
Thinking of Quitting Soon But May Want to Return Next Summer,Publix
An interesting title,Publix
Bagging Tips?,Publix
Clean dairy = Best Dairy ; Change my mind,Publix
What's the one song one the soundtrack that makes you want to end it all?,Publix
Currently rubbing my nips thinking about toppless birds.😂😂😂,Publix
A few things I've noticed,Publix
Starting pay?,Publix
A true man of honor!,Publix
Evaluation Judgement,Publix
When is next dividend check?,Publix
"Back to the""No problem"" issue .",Publix
How's everyone else's morning going?,Publix
"Well, looks like our truck is going to be a little late",Publix
Evaluate time frame,Publix
"What would you do if you caught someone doing the ""lick challenge""",Publix
why must people do this? The cart return was three spots away,Publix
What was your most embarrassing moment working for Publix?,Publix
New Publix stocking clerk Robot.,Publix
Working,Publix
Love it,Publix
"Store Owes Woman Money After Applying Coupons To Her $1,161 total. [TLC Extreme Couponers - @ Winn Dixie]",Publix
Your LV truck will be a little late,Publix
Things I see in the dairy cooler lmao,Publix
Had a small space to work in soft fruit when it was only 4ft,Publix
Shift changes.,Publix
Heavy rain after closing shift. We all had to run through it. (Zoomed in on the wrong car at first),Publix
When it's a really slow night and you've resorted to literally anything to make the time go by faster.,Publix
Recreate a Pub Sub,Publix
when you check the clock at 5:27 then go to check it again 2 hours later and its only 5:48,Publix
Stocking a New store is Crazy fun!,Publix
Back at it again,Publix
"Anyone else’s store recently get these Tennant T500 machines. We got one last year, &amp; the one in this picture a couple weeks ago. We used to have two Advance Warrior machines. Y’all like these machines, or do you like the old grey Advance ones?",Publix
Basically...,Publix
Did he not want to get wet or was he trying to keep the papers dry. Hmmm,Publix
Nervous and Excited About New Opportunity,Publix
If we’re talking about poor parking jobs...,Publix
How do I go about asking for time off to attend the birth of my nephew in another state?,Publix
Enjoy,Publix
Interviewing for GTL. Any advice?,Publix
starting back office training this week... any advice?,Publix
Saw this on a local Facebook page,Publix
*Cashiers that have Publix Pro,Publix
🤗,Publix
Stores in TN,Publix
Anybody else get a bunch of new yogurt in recently?,Publix
Anyone els see this? 🗿 like talk about some amazing deals,Publix
Wait a minute 🧐,Publix
PAQ help,Publix
Self checkout,Publix
Hey guys new front service clerk here👌🏻👌🏻,Publix
One of these things just doesn't belong here...,Publix
Nothing like a little bakery down time to practice them letters.,Publix
Trash Compactor.,Publix
Starting Pay/Questions,Publix
"Hey guys just dropped Part 2! I kinda dropped it wayyy later then expected cause I pulled an all nighter to finish but then ended up accidentally falling asleep -.-, Now time time to work on this part 3!",Publix
My wetset setup,Publix
Do I need to talk to my manager about availability change?,Publix
Customer Question - Pushing My Buggy,Publix
Publix employees after hearing the same Taylor swift and Edd Sheehan songs all day,Publix
When you come into work and see this..,Publix
"“Grocery, customer assistance needed on Aisle 1”",Publix
After a long shitty day...,Publix
Wetwall at my last store (where we had a little more freedom),Publix
North Carolina pay,Publix
BOYYYYYYYYY,Publix
When they hate the dairy department.,Publix
At least you tried,Publix
This,Publix
Thanks Publix,Publix
Ribeye Prices,Publix
"Not my best wetset, but a guide for my other associates.",Publix
I got a few new items for my yogurt section today.,Publix
How's my wet wall look?,Publix
Look all I’m saying is that this wouldn’t have happened with normal headphones,Publix
3 weeks notice,Publix
"""You Shall Not Pass""!",Publix
Publix #1345,Publix
Grocery,Publix
beautiful set up when I walked in.,Publix
I'm sad 😢😢,Publix
RIP,Publix
Is dating a coworker fine?,Publix
definitely me,Publix
"Insider? Shit, I barely know her!",Publix
I get Burns trying to finish this before the end of my break,Publix
Why are the baggers so rude about pushing the carts?,Publix
Closes are going to be a little bit more fun now,Publix
Get good,Publix
Look at that shiny floor 😍😍😍,Publix
I work part time at Publix and am too scared to ask.,Publix
"I don’t always work the wet wall, but when I do this is the amount of boxes I empty out.",Publix
"Do overnights they said, you'll get hours they said",Publix
So realized about 20 of you guys subscribed to my channel after watching my “Sublix”job video. And a few of you guys are looking forward to part 2. Now I’m scared to disappoint so I wanted to clarify that part 2 is more about cleaning and not the job itself. But part 3 will be relatable rant.,Publix
What’s wrong?,Publix
I miss labeled 6 wires of small watermelon bowls,Publix
Holiday bonuses,Publix
Working with depression,Publix
Fraternizing,Publix
CSS Lotto terminal,Publix
CuStOmEr SeRvIcE,Publix
Complaint,Publix
Transferring,Publix
Decopac,Publix
Was told a couple days ago that we're getting a new dept manager. My first thought was:,Publix
passport down?,Publix
How often do managers change and why?,Publix
When you're closing MIC and there's refrigeration issues and the freezer just laughs at you... Hahaha,Publix
What’s the longest Wet Wall (Produce)you’ve ever seen in a Publix?,Publix
How hard is it to get on full time?,Publix
"Same user, different night. Bill counter broke, counted 5 tills by hand. My hand was nasty with that money dirt.",Publix
Question for fulltime CSS and CS managers,Publix
4th July Frozen Endcap Display,Publix
Nice.,Publix
Sunset last night from Store #1649,Publix
Produce questions,Publix
🤭,Publix
Red Alert!...DM visit in 10 min....,Publix
Part time,Publix
Friendly PSA for Produce: Check your dates! Haven't even hit juice yet...,Publix
Noticed an unusual creature.,Publix
For you part timers that keep asking about holiday pay. This is in your associate handbook.,Publix
Managers!,Publix
Benefits,Publix
Happy 4th of july,Publix
Happy 4th of July!,Publix
Store managers bonus,Publix
Assistant/Department Manager Evaluations,Publix
The only salad you should buy for the 4th,Publix
Need advice,Publix
sunrise at 1137 today :’),Publix
Pay not added,Publix
Took this as I was leaving tonight.,Publix
Just clocked out for the last time after 8 years...,Publix
I had made this video about working at “sublix”a while ago and people here seemed to like it. My part 2 is Sunday but it’s more about cleaning then the job. Do you guys have any ideas on what I should talk about in a rant vid about “sublix”. And this isn’t really to hate on “sublix” lol,Publix
Holiday pay?,Publix
Good morning Store#1200,Publix
1567,Publix
No pay today?,Publix
Is it worth coming back?,Publix
Yo that’s a first timer,Publix
Need someone for Frozen!,Publix
Good morning #305,Publix
Pay,Publix
Does public warehouse drug test on the first interview?,Publix
Does Publix pay on July 4th?,Publix
